word,frequency
ничем,680645
зло,680584
примеру,680451
здания,680387
пола,679581
готова,679519
услуги,679299
прошла,678717
структуры,678462
вечно,678082
следующее,678063
способен,677894
провел,676497
продолжил,676202
звезды,675699
странах,675118
причина,674398
святой,674026
чисто,673804
ладони,673703
соль,672949
горе,672888
смотрели,672343
отвечает,671766
нормально,671710
ничто,671573
нормы,671526
сложно,671115
надежда,669947
подобных,669947
огня,669830
времен,668850
звуки,668466
ходу,668376
отметить,668219
пойдет,667950
женой,667935
объект,667737
позади,667308
бежать,666614
законы,666517
опыта,666504
майор,665233
природе,664498
организма,664465
действительности,664041
собственного,663422
дождь,662852
квартиры,662407
главного,661708
внутренних,661497
